company,location,percentage_laid_off,funds_raised_millions
Britishvolt,London,1,2400
"Deliveroo Australia",Melbourne,1,1700
Katerra,"SF Bay Area",1,1600
Convoy,Seattle,1,1100
"Cue Health","San Diego",1,899
Openpay,Melbourne,1,299
"Ghost Autonomy","SF Bay Area",1,247
Zulily,Seattle,1,194
"Simple Feast",Copenhagen,1,173
ZestMoney,Bengaluru,1,120
Drizly,Boston,1,119
Reali,"SF Bay Area",1,117
Bluprint,Denver,1,108
HOOQ,Singapore,1,95
"Phantom Auto","SF Bay Area",1,86
Milkrun,Sydney,1,86
Bitwise,"SF Bay Area",1,84
Deliv,"SF Bay Area",1,80
"Stay Alfred",Spokane,1,62
Hubba,Toronto,1,61
"Butler Hospitality","New York City",1,50
"Bridge Connector",Nashville,1,45
"Buy.com / Rakuten","SF Bay Area",1,42
"Fifth Season",Pittsburgh,1,35
Frontdesk,Milwaukee,1,26
WanderJaunt,"SF Bay Area",1,26
Amplero,Seattle,1,25
DeepVerge,Dublin,1,20
Pocketmath,Singapore,1,20
Metigy,Sydney,1,18
Soluto,"Tel Aviv",1,18
BeyondMinds,"Tel Aviv",1,16
Jump,"New York City",1,11
Playdots,"New York City",1,10
Ahead,"SF Bay Area",1,9
SummerBio,"SF Bay Area",1,7
Help.com,Austin,1,6
Planetly,Berlin,1,5
"The Grommet",Boston,1,5
Consider.co,"SF Bay Area",1,5
SEND,Sydney,1,3
Dark,"SF Bay Area",1,3
Crejo.Fun,Bengaluru,1,3
Dropp,Berlin,1,2
Dealtale,"Tel Aviv",1,2
TutorMundi,"Sao Paulo",1,2
Udayy,Gurugram,1,2
Eatsy,Singapore,1,1
"Kitty Hawk","SF Bay Area",1,1
Glisser,London,1,1
Atsu,Seattle,1,1
